patron_id,order_id,arrival_time,burst_time,priority,service_start_time,completion_time,response_time,waiting_time,turnaround_time,queue_level
0,0,379,25,1,382,414,3,3,35,0
0,1,566,25,1,567,593,1,1,27,0
1,2,577,25,2,593,621,16,16,44,0
1,4,722,20,2,737,759,15,15,37,0
2,6,776,25,3,882,908,106,106,132,0
1,5,764,70,2,841,939,77,103,175,1
0,3,695,200,1,696,1021,1,122,326,2
2,8,1060,25,3,1075,1101,15,15,41,0
0,7,1032,60,1,1033,1164,1,69,132,1
1,9,1090,60,2,1101,1185,11,32,95,1
2,10,1251,25,3,1253,1279,2,2,28,0
0,11,1275,25,1,1279,1305,4,4,30,0
1,12,1295,40,2,1306,1348,11,11,53,0
1,15,1459,25,2,1463,1488,4,4,29,0
2,13,1380,75,3,1381,1524,1,68,144,1
0,14,1407,75,1,1421,1560,14,75,153,1
1,16,1588,40,2,1590,1632,2,2,44,0
3,17,1716,20,4,1717,1738,1,1,22,0
3,18,1742,100,4,1743,1886,1,42,144,1
1,19,1743,200,2,1783,2049,40,102,306,2
3,20,2007,25,4,2049,2075,42,42,68,0
3,21,2226,100,4,2227,2329,1,1,103,1
3,23,2449,25,4,2465,2491,16,16,42,0
4,22,2423,75,5,2425,2527,2,28,104,1
4,25,2608,40,5,2634,2675,26,26,67,0
3,24,2592,60,4,2593,2697,1,42,105,1
3,26,2807,70,4,2808,2879,1,1,72,1
5,27,3029,100,6,3030,3131,1,1,102,1
6,28,3205,50,7,3207,3259,2,2,54,1
5,29,3252,40,6,3259,3300,7,7,48,0
7,31,3381,40,8,3401,3442,20,20,61,0
6,30,3359,70,7,3361,3473,2,43,114,1
7,32,3553,25,8,3555,3580,2,2,27,0
6,33,3626,25,7,3628,3655,2,2,29,0
8,34,3715,25,9,3716,3741,1,1,26,0
7,35,3731,25,8,3741,3768,10,10,37,0
6,36,3806,75,7,3807,3925,1,42,119,1
8,37,3842,100,9,3848,3987,6,42,145,1
6,38,4036,100,7,4037,4139,1,1,103,1
9,39,4230,65,10,4232,4304,2,2,74,1
9,40,4361,200,10,4362,4591,1,1,230,2
9,41,4606,70,10,4608,4688,2,2,82,1
